id,source,version_or_pin,primary_task,graph_or_data,role_in_direct_adaptation,evidence_status,key_constraint_or_gap,url
L-001,GRAPES paper,arXiv:2310.03399v3 revised 2025-07-15,Node classification,General attributed graphs,"Formal source for layer-wise sampler, Gumbel Top-k, RL, GFlowNet/TB, K-set notation, and reward","VERIFIED PRIMARY SOURCE","Recommendation is mentioned as an extensible task but is not evaluated; off-policy and paper/code discrepancies remain",https://arxiv.org/abs/2310.03399v3
L-002,Official GRAPES code,commit 71ecebeaac896800aa4dd1d0f38c57ec222ef396 resolved 2026-08-26,Node classification,General attributed graphs,"Implementation reference for policy logits, exact-k action, log q, GCN_Z, RL/TB loop, and evaluation","VERIFIED OFFICIAL REPOSITORY PIN","Phase 1 executed commit is unknown; pinned code behavior must be tested against paper semantics",https://github.com/dfdazac/grapes
L-003,BPR: Bayesian Personalized Ranking from Implicit Feedback,arXiv:1205.2618 / UAI 2009,Pairwise personalized ranking,Implicit user-item interactions,"Primary downstream loss and triplet semantics for the adaptation","VERIFIED PRIMARY SOURCE","Does not define graph neighborhood sampling or GRAPES reward scaling",https://arxiv.org/abs/1205.2618
L-004,LightGCN,arXiv:2002.02126 / SIGIR 2020,Collaborative filtering,User-item bipartite graph,"Primary downstream graph-recommender semantics: embeddings, normalized propagation, layer combination, dot-product scoring","VERIFIED PRIMARY SOURCE","Canonical full-graph normalization and no self-connections must be reconciled with sampled GRAPES blocks",https://arxiv.org/abs/2002.02126
L-005,DSKReG paper,arXiv:2108.11883,Recommendation with learned sampling,Knowledge graph recommendation,"Closest-work warning against claiming the first learned sampler for recommendation","VERIFIED PRIMARY SOURCE ANCHOR","Different graph and task setting; exact novelty boundary for plain implicit bipartite recommendation still needs a full comparison",https://arxiv.org/abs/2108.11883
L-006,PinSage,arXiv:1806.01973 / KDD 2018,Scalable recommendation,Large user-item graph,"Foundational scalable graph-recommendation and sampling reference","VERIFIED PRIMARY SOURCE","Not a GRAPES-style RL/GFlowNet layer-wise sampler; execution as a baseline is optional",https://arxiv.org/abs/1806.01973
L-007,Recommender data-leakage study,arXiv:2010.11060,Evaluation methodology,Timestamped recommender data,"Evidence for global temporal controls and training-only preprocessing","VERIFIED PRIMARY SOURCE ANCHOR","Exact split and filtering protocol for selected datasets remains proposed",https://arxiv.org/abs/2010.11060
L-008,Sampled-metric analysis,arXiv:1912.02263,Evaluation methodology,Top-K recommendation candidates,"Evidence for exact full-catalog ranking as the primary evaluation","VERIFIED PRIMARY SOURCE ANCHOR","Chunking feasibility depends on final dataset and hardware",https://arxiv.org/abs/1912.02263
L-009,GraphSAGE,arXiv:1706.02216 / NeurIPS 2017,Inductive representation learning,Large attributed graphs,"Mandatory uniform neighborhood-sampling control and node-wise sampling taxonomy","VERIFIED PRIMARY SOURCE","Node classification/inductive embedding rather than temporal full-catalog recommendation",https://arxiv.org/abs/1706.02216
L-010,FastGCN,OpenReview rytstxWAW / ICLR 2018,Scalable GCN training,Attributed graphs,"Layer-wise Monte Carlo and importance-sampling anchor","VERIFIED PRIMARY SOURCE","Layer-independent proposal and node-classification evaluation; not task-conditioned recommendation",https://openreview.net/pdf?id=rytstxWAW
L-011,AS-GCN,NeurIPS 2018 paper 01eee509ee2f68dc6014898c309e86bf,Adaptive scalable GCN training,Attributed graphs,"Adaptive layer-wise candidate mechanism and variance-reduction reference","VERIFIED PRIMARY SOURCE","Learns a variance-oriented sampler for graph representation tasks rather than recommendation ranking",https://proceedings.neurips.cc/paper/2018/hash/01eee509ee2f68dc6014898c309e86bf-Abstract.html
L-012,LADIES,NeurIPS 2019 paper 91ba4a4478a66bee9812b0804b6f9d1b,Scalable GCN training,Attributed graphs,"Layer-dependent importance-sampling reference and structural candidate","VERIFIED PRIMARY SOURCE","Node-classification setting; proposal is structural rather than optimized for BPR/full-catalog NDCG",https://proceedings.neurips.cc/paper/2019/hash/91ba4a4478a66bee9812b0804b6f9d1b-Abstract.html
L-013,Cluster-GCN,arXiv:1905.07953 / KDD 2019,Scalable GCN training,Large attributed graphs,"Cluster/subgraph-sampling family boundary","VERIFIED PRIMARY SOURCE","Changes minibatch construction and restricts neighborhoods inside clusters; not the primary exact-k layer-wise intervention",https://arxiv.org/abs/1905.07953
L-014,GraphSAINT,OpenReview BJe8pkHFwS / ICLR 2020,Inductive GNN training,Large attributed graphs,"Graph-sampling and normalization family boundary","VERIFIED PRIMARY SOURCE","Samples complete subgraphs and corrects bias; not a target-conditioned recommender sampler",https://openreview.net/forum?id=BJe8pkHFwS
L-015,Data-driven GraphSAGE sampling,arXiv:1904.12935,Learned neighborhood sampling,Attributed graphs,"Closest learned-RL neighbor-sampling warning and candidate mechanism anchor","VERIFIED PRIMARY SOURCE","Value-based RL is evaluated on node classification; no temporal recommendation or full-catalog ranking",https://arxiv.org/abs/1904.12935
L-016,SubMix,PMLR 216 UAI 2023,Trainable mixture of graph-sampling heuristics,General attributed graphs,"Low-complexity learned-mixture candidate and closest-work boundary","VERIFIED PRIMARY SOURCE","Learns heuristic mixtures mainly for general GNN tasks; not evaluated under the thesis recommendation protocol",https://proceedings.mlr.press/v216/abu-el-haija23a.html
