id,nguon,version_hoac_pin,task_chinh,graph_hoac_data,vai_tro_trong_direct_adaptation,trang_thai_bang_chung,constraint_hoac_gap_chinh,url
L-001,Paper GRAPES,arXiv:2310.03399v3 sửa ngày 2025-07-15,Node classification,General attributed graph,"Nguồn chính thức cho layer-wise sampler, Gumbel Top-k, RL, GFlowNet/TB, K-set notation và reward","VERIFIED PRIMARY SOURCE","Recommendation được nhắc như task có thể mở rộng nhưng chưa được đánh giá; off-policy và discrepancy paper/code vẫn còn",https://arxiv.org/abs/2310.03399v3
L-002,Official GRAPES code,commit 71ecebeaac896800aa4dd1d0f38c57ec222ef396 resolve ngày 2026-08-26,Node classification,General attributed graph,"Implementation reference cho policy logits, exact-k action, log q, GCN_Z, RL/TB loop và evaluation","VERIFIED OFFICIAL REPOSITORY PIN","Exact commit Phase 1 đã chạy là unknown; behavior của pinned code phải được test với paper semantic",https://github.com/dfdazac/grapes
L-003,BPR: Bayesian Personalized Ranking from Implicit Feedback,arXiv:1205.2618 / UAI 2009,Pairwise personalized ranking,Implicit user-item interaction,"Primary downstream loss và triplet semantic cho adaptation","VERIFIED PRIMARY SOURCE","Không định nghĩa graph neighborhood sampling hoặc GRAPES reward scaling",https://arxiv.org/abs/1205.2618
L-004,LightGCN,arXiv:2002.02126 / SIGIR 2020,Collaborative filtering,User-item bipartite graph,"Primary downstream graph-recommender semantic: embedding, normalized propagation, layer combination và dot-product scoring","VERIFIED PRIMARY SOURCE","Canonical full-graph normalization và không có self-connection phải được hòa giải với sampled GRAPES block",https://arxiv.org/abs/2002.02126
L-005,Paper DSKReG,arXiv:2108.11883,Recommendation với learned sampling,Knowledge graph recommendation,"Closest-work warning chống claim learned sampler đầu tiên cho recommendation","VERIFIED PRIMARY SOURCE ANCHOR","Khác graph và task setting; exact novelty boundary cho plain implicit bipartite recommendation vẫn cần full comparison",https://arxiv.org/abs/2108.11883
L-006,PinSage,arXiv:1806.01973 / KDD 2018,Scalable recommendation,Large user-item graph,"Foundational scalable graph-recommendation và sampling reference","VERIFIED PRIMARY SOURCE","Không phải GRAPES-style RL/GFlowNet layer-wise sampler; chạy như baseline là optional",https://arxiv.org/abs/1806.01973
L-007,Nghiên cứu data leakage trong recommender,arXiv:2010.11060,Evaluation methodology,Timestamped recommender data,"Bằng chứng cho global temporal control và training-only preprocessing","VERIFIED PRIMARY SOURCE ANCHOR","Exact split và filtering protocol cho dataset được chọn vẫn là proposal",https://arxiv.org/abs/2010.11060
L-008,Phân tích sampled metric,arXiv:1912.02263,Evaluation methodology,Top-K recommendation candidate,"Bằng chứng cho exact full-catalog ranking làm primary evaluation","VERIFIED PRIMARY SOURCE ANCHOR","Chunking feasibility phụ thuộc final dataset và hardware",https://arxiv.org/abs/1912.02263
L-009,GraphSAGE,arXiv:1706.02216 / NeurIPS 2017,Inductive representation learning,Large attributed graph,"Đối chứng uniform neighborhood sampling bắt buộc và mốc taxonomy node-wise sampling","VERIFIED PRIMARY SOURCE","Node classification/inductive embedding thay vì temporal full-catalog recommendation",https://arxiv.org/abs/1706.02216
L-010,FastGCN,OpenReview rytstxWAW / ICLR 2018,Scalable GCN training,Attributed graph,"Mốc layer-wise Monte Carlo và importance sampling","VERIFIED PRIMARY SOURCE","Proposal không phụ thuộc lớp và đánh giá node classification; không phải task-conditioned recommendation",https://openreview.net/pdf?id=rytstxWAW
L-011,AS-GCN,NeurIPS 2018 paper 01eee509ee2f68dc6014898c309e86bf,Adaptive scalable GCN training,Attributed graph,"Cơ chế ứng viên adaptive layer-wise và nguồn về variance reduction","VERIFIED PRIMARY SOURCE","Học sampler hướng variance cho graph representation thay vì recommendation ranking",https://proceedings.neurips.cc/paper/2018/hash/01eee509ee2f68dc6014898c309e86bf-Abstract.html
L-012,LADIES,NeurIPS 2019 paper 91ba4a4478a66bee9812b0804b6f9d1b,Scalable GCN training,Attributed graph,"Mốc layer-dependent importance sampling và ứng viên structural","VERIFIED PRIMARY SOURCE","Bối cảnh node classification; proposal theo structure thay vì tối ưu BPR/full-catalog NDCG",https://proceedings.neurips.cc/paper/2019/hash/91ba4a4478a66bee9812b0804b6f9d1b-Abstract.html
L-013,Cluster-GCN,arXiv:1905.07953 / KDD 2019,Scalable GCN training,Large attributed graph,"Ranh giới họ cluster/subgraph sampling","VERIFIED PRIMARY SOURCE","Thay đổi cách tạo minibatch và giới hạn neighborhood trong cluster; không phải can thiệp exact-k theo lớp chính",https://arxiv.org/abs/1905.07953
L-014,GraphSAINT,OpenReview BJe8pkHFwS / ICLR 2020,Inductive GNN training,Large attributed graph,"Ranh giới họ graph sampling và normalization","VERIFIED PRIMARY SOURCE","Lấy mẫu complete subgraph và hiệu chỉnh bias; không phải target-conditioned recommender sampler",https://openreview.net/forum?id=BJe8pkHFwS
L-015,Data-driven GraphSAGE sampling,arXiv:1904.12935,Learned neighborhood sampling,Attributed graph,"Cảnh báo closest-work về learned-RL neighbor sampling và mốc cơ chế ứng viên","VERIFIED PRIMARY SOURCE","Value-based RL được đánh giá trên node classification; không có temporal recommendation hay full-catalog ranking",https://arxiv.org/abs/1904.12935
L-016,SubMix,PMLR 216 UAI 2023,Trainable mixture of graph-sampling heuristics,General attributed graph,"Ứng viên learned mixture ít phức tạp và ranh giới closest work","VERIFIED PRIMARY SOURCE","Học mixture heuristic chủ yếu cho GNN task tổng quát; chưa đánh giá theo protocol recommendation của luận văn",https://proceedings.mlr.press/v216/abu-el-haija23a.html
